Club Name,State,City,Monthly Dues,Contact Phone,Website,Address,Prestige Level,Membership Type,Initiation Fee,Other Costs
Augusta National Golf Club,GA,Augusta,25000,(706) 667-6000,augustanational.com,2604 Washington Rd Augusta GA 30904,Elite,Invitation Only,500000,Cart Fees: $75/round
Pebble Beach Golf Links,CA,Pebble Beach,8500,(831) 624-3811,pebblebeach.com,1700 17 Mile Dr Pebble Beach CA 93953,Premier,Semi-Private,25000,Green Fees: $695/round
Pine Valley Golf Club,NJ,Pine Valley,15000,(856) 783-3000,pinevalley.org,Clementon Rd Pine Valley NJ 08021,Elite,Private,350000,Caddies Required: $150/round
Cypress Point Club,CA,Pebble Beach,12000,(831) 624-2223,cypresspoint.com,3150 17 Mile Dr Pebble Beach CA 93953,Elite,Private,300000,Dining Minimum: $2000/year
Merion Golf Club,PA,Ardmore,6800,(610) 642-5600,meriongolfclub.com,450 Ardmore Ave Ardmore PA 19003,Premier,Private,125000,Locker Fees: $500/year
Shinnecock Hills Golf Club,NY,Southampton,7500,(631) 283-1310,shinnecockhills.com,200 Tuckahoe Rd Southampton NY 11968,Elite,Private,250000,Food & Beverage Minimum: $3000/year
Olympic Club,CA,San Francisco,4200,(415) 761-1234,olyclub.com,599 Skyline Blvd San Francisco CA 94132,Premier,Private,75000,Athletic Club Access: $200/month
Winged Foot Golf Club,NY,Mamaroneck,8200,(914) 698-8400,wfgc.org,851 Fenimore Rd Mamaroneck NY 10543,Elite,Private,200000,Tennis Courts: $100/hour
Oakmont Country Club,PA,Oakmont,5500,(412) 828-8000,oakmontcountryclub.com,1233 Hulton Rd Oakmont PA 15139,Premier,Private,100000,Pool Access: $1500/year
Congressional Country Club,MD,Bethesda,6200,(301) 469-2000,ccclub.org,8500 River Rd Bethesda MD 20817,Premier,Private,150000,Valet Parking: $25/visit
Baltusrol Golf Club,NJ,Springfield,5800,(973) 376-1900,baltusrol.org,201 Shunpike Rd Springfield NJ 07081,Premier,Private,110000,Range Balls: $15/bucket
Chicago Golf Club,IL,Wheaton,7200,(630) 665-2988,chicagogolfclub.org,25W253 Warrenville Rd Wheaton IL 60189,Elite,Private,180000,Bag Storage: $300/year
